#;Cliente;Tp.;Parc.;F.Pgto;Vd.;NF;N.Doc;Abertura;Comp.;Venc.;D-;Valor(R$);Total(R$);Saldo(R$);Pgto.
132265;"COMEDORIA 520 (PIMENTA DE CHEIRO)";DP;1/1;INDEFINIDO;157789;19446;157789;29/04/22;29/04/22;06/05/22;1343;801,44;278,26;278,26;--
132582;"COMEDORIA 520 (PIMENTA DE CHEIRO)";DP;1/1;INDEFINIDO;158106;19628;158106;03/05/22;03/05/22;10/05/22;1339;688,43;688,43;688,43;--
132919;"COMEDORIA 520 (PIMENTA DE CHEIRO)";DP;1/1;INDEFINIDO;158379;19811;158379;05/05/22;05/05/22;12/05/22;1337;424,01;424,01;424,01;--
139247;"EMPORIO DE CARNES E BEBIDAS";DP;1/1;INDEFINIDO;163633;23021;163633;05/07/22;05/07/22;26/07/22;1262;1.866,01;1.866,01;1.866,01;--
139248;"EMPORIO DE CARNES E BEBIDAS";DP;1/1;INDEFINIDO;163631;23022;163631;05/07/22;05/07/22;26/07/22;1262;1.668,28;1.668,28;1.668,28;--
145605;"MIX SUPERMERCADO";DP;1/1;INDEFINIDO;168857;26339;168857;02/09/22;02/09/22;07/09/22;1219;1.357,95;207,95;207,95;--
160975;"TDS ALIMENTOS";DP;1/1;INDEFINIDO;181283;35113;181283;16/01/23;16/01/23;31/01/23;1073;861,70;762,68;762,68;--
160976;"TDS ALIMENTOS";DP;1/1;INDEFINIDO;181280;35114;181280;16/01/23;16/01/23;31/01/23;1073;679,63;679,63;679,63;--
167445;"CIAVE ALIMENTOS";DP;1/1;INDEFINIDO;186399;38842;186399;11/03/23;11/03/23;25/03/23;1020;3.191,05;3.191,05;3.191,05;--
167973;"CIAVE ALIMENTOS";DP;1/1;INDEFINIDO;186828;39138;186828;16/03/23;16/03/23;30/03/23;1015;5.442,50;5.442,50;5.442,50;--
168580;"CIAVE ALIMENTOS";DP;1/1;INDEFINIDO;187316;39494;187316;21/03/23;21/03/23;05/04/23;1009;4.502,18;4.502,18;4.502,18;--
174274;"ANCORA RESTAURANTE + PETISCARIA";DP;1/1;INDEFINIDO;191747;42685;191747;09/05/23;09/05/23;16/05/23;968;808,40;808,40;808,40;--
176212;"PADARIA & RESTAURANTE GUARARAPES";DP;1/1;INDEFINIDO;193404;43837;193404;24/05/23;24/05/23;31/05/23;953;1.507,80;1.507,80;1.507,80;--
179948;"PONTO DA CHARQUE";DP;2/2;INDEFINIDO;196384;46022;46022/2;22/06/23;22/06/23;06/07/23;917;3.044,81;3.044,81;3.044,81;--
180893;"PONTO DA CHARQUE";DP;1/1;INDEFINIDO;197091;46533;46533;30/06/23;30/06/23;07/07/23;916;3.686,85;3.686,85;3.686,85;--
180608;"PONTO DA CHARQUE";DP;2/2;INDEFINIDO;196793;46376;46376/2;28/06/23;28/06/23;12/07/23;911;1.214,05;1.214,05;1.214,05;--
181533;"PONTO DA CHARQUE";DP;1/1;INDEFINIDO;197596;46908;46908;05/07/23;05/07/23;12/07/23;911;1.125,87;1.125,87;1.125,87;--
212850;"SPECK HAUS";DP;1/1;TRANSFERÊNCIA;223037;62070;62070;24/02/24;24/02/24;25/02/24;683;768,55;768,55;768,55;--
212891;"SPECK HAUS";DP;1/1;TRANSFERÊNCIA;223036;4628;4628;24/02/24;24/02/24;25/02/24;683;911,47;911,47;911,47;--
217685;"MERCADINHO PAI E FILHO";DP;1/1;BOLETO;227218;6690;6690;27/03/24;27/03/24;03/04/24;645;650,30;650,30;650,30;--
217922;"MERCADINHO PAI E FILHO";DP;1/1;BOLETO;227336;6796;6796;28/03/24;28/03/24;04/04/24;644;1.503,21;1.503,21;1.503,21;--
222148;"FRANGO TODO DIA ( CASA AMARELA)";DP;1/1;BOLETO;231059;1005;1005;24/04/24;24/04/24;04/05/24;614;693,20;693,20;693,20;--
223086;"FRANGO TODO DIA ( CASA AMARELA)";DP;1/1;BOLETO;231946;1053;1053;30/04/24;30/04/24;10/05/24;608;515,40;515,40;515,40;--
